Periodo,Mes,Codigo_departamento,Departamento,Codigo_municipio,Municipio,Nombre_comercial,Bandera,Direccion,Producto,Precio,Estado
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS COESCO EMANUEL,ESSO,CALLE 22 SUR N° 24 H- 51,BIODIESEL EXTRA,8750,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS COESCO EMANUEL,ESSO,CALLE 22 SUR N° 24 H- 51,GASOLINA CORRIENTE OXIGENADA,8799,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS COESCO TERMINAL,ESSO,CALLE 65 B SUR N° 77 G- 28,GASOLINA CORRIENTE OXIGENADA,9330,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS COESCO TERMINAL,ESSO,CALLE 65 B SUR N° 77 G- 28,GASOLINA EXTRA OXIGENADA,16690,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS COESCO TERMINAL,ESSO,CALLE 65 B SUR N° 77 G- 28,BIODIESEL EXTRA,9100,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS AUTOSUR,ESSO,CALLE 57 Q Sur N° 75 A -08,GASOLINA EXTRA OXIGENADA,15550,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS AUTOSUR,ESSO,CALLE 57 Q Sur N° 75 A -08,GASOLINA CORRIENTE OXIGENADA,9165,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS AUTOSUR,ESSO,CALLE 57 Q Sur N° 75 A -08,BIODIESEL EXTRA,8760,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ANCER PREMIUM,TEXACO,Calle 53 Sur N° 19 B ¿ 33,BIODIESEL EXTRA,8843,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ANCER PREMIUM,TEXACO,Calle 53 Sur N° 19 B ¿ 33,GASOLINA CORRIENTE OXIGENADA,8990,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACIÓN DE SERVICIO LA GRANJA,TEXACO,CALLE 79 No. 76-60,BIODIESEL EXTRA,9238,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACIÓN DE SERVICIO LA GRANJA,TEXACO,CALLE 79 No. 76-60,GASOLINA CORRIENTE OXIGENADA,9474,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS COESCO PARALELA 118,ESSO,Avenida Carrera 45 (Autopista Norte) No 118- 54 de Bogotá,GASOLINA EXTRA OXIGENADA,16690,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS COESCO PARALELA 118,ESSO,Avenida Carrera 45 (Autopista Norte) No 118- 54 de Bogotá,GASOLINA CORRIENTE OXIGENADA,9590,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS COESCO PARALELA 118,ESSO,Avenida Carrera 45 (Autopista Norte) No 118- 54 de Bogotá,GASOLINA CORRIENTE OXIGENADA,9620,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS COESCO PARALELA 118,ESSO,Avenida Carrera 45 (Autopista Norte) No 118- 54 de Bogotá,BIODIESEL EXTRA,10290,A
